Index,Height(Inches),Weight(Pounds),Height(m),Weight(kg),IMT
1,65.78331,112.9925,1.64458275,51.2437641723356,18.9465247967306
2,71.51521,136.4873,1.78788025,61.8990022675737,19.3645226134539
3,69.39874,153.0269,1.7349685,69.3999546485261,23.0555771463958
4,68.2166,142.3354,1.705415,64.551201814059,22.1944391709837
5,67.78781,144.2971,1.69469525,65.4408616780045,22.7858788942916
6,68.69784,123.3024,1.717446,55.9194557823129,18.9581848912098
7,69.80204,141.4947,1.745051,64.1699319727891,21.0724645052249
8,70.01472,136.4623,1.750368,61.887664399093,20.199720628048
9,67.90265,112.3723,1.69756625,50.9624943310658,17.684680238772
10,66.78236,120.6672,1.669559,54.7243537414966,19.6325675059405
11,66.48769,127.4516,1.66219225,57.801179138322,20.920602699858
12,67.62333,114.143,1.69058325,51.7655328798186,18.112048211998
13,68.30248,125.6107,1.707562,56.9663038548753,19.5373240156694
14,67.11656,122.4618,1.677914,55.538231292517,19.7266186704165
15,68.27967,116.0866,1.70699175,52.6469841269841,18.0680237790902
16,71.0916,139.9975,1.77729,63.4909297052154,20.099955314362
17,66.461,129.5023,1.661525,58.7312018140589,21.2742925659641
18,68.64927,142.9733,1.71623175,64.8404988662132,22.0137729763134
19,71.23033,137.9025,1.78075825,62.5408163265306,19.7221208452493
20,67.13118,124.0449,1.6782795,56.2561904761905,19.9729281657086
21,67.83379,141.2807,1.69584475,64.0728798185941,22.2793266875422
22,68.87881,143.5392,1.72197025,65.0971428571429,21.9538473235465
23,63.48115,97.90191,1.58702875,44.3999591836735,17.6284034835709
24,68.42187,129.5027,1.71054675,58.7313832199547,20.0724476081155
25,67.62804,141.8501,1.690701,64.3311111111111,22.5054361267698
26,67.20864,129.7244,1.680216,58.8319274376417,20.8392864742108
27,70.84235,142.4235,1.77105875,64.591156462585,20.592407530046
28,67.49434,131.5502,1.6873585,59.6599546485261,20.9540604145797
29,66.53401,108.3324,1.66335025,49.1303401360544,17.7575217473164
30,65.44098,113.8922,1.6360245,51.65179138322,19.2977102861312
31,69.5233,103.3016,1.7380825,46.848798185941,15.5080674292941
32,65.8132,120.7536,1.64533,54.763537414966,20.2295145196581
33,67.8163,125.7886,1.6954075,57.0469841269841,19.846525646193
34,70.59505,136.2225,1.76487625,61.7789115646258,19.8340651234852
35,71.80484,140.1015,1.795121,63.5380952380952,19.7172678565283
36,69.20613,128.7487,1.73015325,58.389433106576,19.5058604575801
37,66.80368,141.7994,1.670092,64.3081179138322,23.0560554533924
38,67.65893,121.2319,1.69147325,54.9804535147392,19.2166663569502
39,67.80701,131.3478,1.69517525,59.5681632653061,20.7293174939152
40,64.04535,106.7115,1.60113375,48.3952380952381,18.8776272650098
41,68.57463,124.3598,1.71436575,56.3990022675737,19.1895352958077
42,65.18357,124.8591,1.62958925,56.6254421768707,21.3233435567254
43,69.65814,139.6711,1.7414535,63.3429024943311,20.8869099673293
44,67.96731,137.3696,1.69918275,62.2991383219955,21.5775364470796
45,65.98088,106.4499,1.649522,48.2765986394558,17.742729831979
46,68.67249,128.7639,1.71681225,58.3963265306122,19.8125292803461
47,66.88088,145.6837,1.672022,66.0697052154195,23.632974925197
48,67.69868,116.819,1.692467,52.9791383219955,18.4954316516028
49,69.82117,143.6215,1.74552925,65.1344671201814,21.3774846362389
50,69.08817,134.9325,1.72720425,61.1938775510204,20.5125936683097
51,69.91479,147.0219,1.74786975,66.6765986394558,21.8250528863076
52,67.33182,126.3285,1.6832955,57.2918367346939,20.2195749068313
53,70.26939,125.4839,1.75673475,56.908798185941,18.4402595625805
54,69.10344,115.7084,1.727586,52.4754648526077,17.5823508717303
55,65.38356,123.4892,1.634589,56.0041723356009,20.960577273502
56,70.18447,147.8926,1.75461175,67.0714739229025,21.7859139313935
57,70.40617,155.8987,1.76015425,70.702358276644,22.8208829116347
58,66.54376,128.0742,1.663594,58.083537414966,20.9873868288935
59,66.36418,119.3701,1.6591045,54.1360997732426,19.6670617493221
60,67.537,133.8148,1.688425,60.6869841269841,21.2878601040054
61,66.50418,128.7325,1.6626045,58.3820861678004,21.1203789555047
62,68.99958,137.5453,1.7249895,62.378820861678,20.9635220375392
63,68.30355,129.7604,1.70758875,58.848253968254,20.182130591348
64,67.01255,128.824,1.67531375,58.4235827664399,20.8159329457134
65,70.80592,135.3165,1.770148,61.3680272108843,19.5849742482004
66,68.21951,109.6113,1.70548775,49.7103401360544,17.0902936933183
