Address,Price,Description,Place,Beds,Bath,Sq.Ft,Website
3704 42 St SW,979999,CA  AB T3E 3N1,Glenbrook,4,3.5,1813,Century 21 Bravo Realty
30 Mahogany Mews SE #415,439900,CA  AB T3M 3H4,Mahogany,2,2,1029,Century 21 Bamber Realty Ltd.
273 Auburn Shores Way SE,950000,CA  AB T3M 2E9,Auburn Bay,4,2.5,2545,Exp Realty
235 15 Ave SW #404,280000,CA  AB T2R 0P6,Beltline,2,2,898,RE/MAX Realty Professionals
24 Hemlock Crescent SW #2308,649000,CA  AB T3C 2Z1,Spruce Cliff,2,2,1482,Charles
591 Aboyne Crescent NE,434900,CA  AB T2A 5Y7,Abbeydale,6,2,1059,Babych Group Central
3406 64 St NE,419900,CA  AB T1Y4L5,Temple,3,2.5,1218,Diamond Realty & Associates Ltd.
10551 Shillington Crescent SW,499900,CA  AB T2W 0N8,Southwood,4,2,1133,Century 21 Elevate Real Estate
928 3 Ave NW #1,269900,CA  AB T2N 0J6,Sunnyside,2,1,756,Century 21 Bamber Realty Ltd.
61 Royal Elm Green NW,627900,CA  AB T3G 0G8,Royal Oak,2,2.5,1303,RE/MAX Real Estate (Central)
79 Evansfield Rd NW,910000,CA  AB T3P 0K5,Evanston,4,3.5,2500,Royal Lepage Benchmark
100 Royal Elm Green NW,939750,CA  AB T3G 0G8,Royal Oak,4,3.5,1747,RE/MAX Real Estate (Central)
3234 New Brighton Gardens SE,399900,CA  AB T2Z 0A3,New Brighton,3,2.5,1125,Cir Realty
714 Willow Park Dr SE #53,425000,CA  AB T2J 0L8,Willow Park,3,2.5,1353,Exp Realty
248 Evergreen Plaza SW,999000,CA  AB T2Y 5B2,Evergreen,4,3.5,1835,Listed by Mariangela Avila
123 Evansford Rd NW,649000,CA  AB T3P 1G8,Evanston,5,3.5,1748,Exp Realty
211 13 Ave NW,600000,CA  AB T2M 0E6,Crescent Heights,2,2,783,RE/MAX House Of Real Estate
24 Hemlock Crescent SW #4205,339900,CA  AB T3C 2Z1,Spruce Cliff,2,2,1086,Century 21 Bamber Realty Ltd.
369 Rocky Vista Park NW #103,310000,CA  AB T3G 5K7,Rocky Ridge,2,2,836,Royal Lepage Benchmark
112 Livingston Parade NE,629900,CA  AB T3P 0V6,Livingston,4,3.5,1519,RE/MAX Landan Real Estate
280 Belmont Blvd SW,739888,CA  AB T2X 4H3,Belmont,4,2.5,1796,Seller Direct Real Estate
231 Costa Mesa Close NE,499900,CA  AB T1Y 6W7,Monterey Park,3,3,1066,Maxwell Central
1805 26 Ave SW #302,269000,CA  AB T2T 1E2,South CA,1,1,707,Exp Realty
19 Pensville Rd SE,519900,CA  AB T2A 4K3,Penbrooke Meadows,5,2.5,1193,Exp Realty
215 25 Ave SW #403,212000,CA  AB T2S 0L2,Mission,1,1,563,Real Estate Professionals Inc.
68 Silverado Creek Crescent SW,799999,CA  AB T2X 0C6,Silverado,4,3.5,2321,RE/MAX Real Estate (Central)
